"filename", "language", "PHP", "HTML", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"/opt/lampp/htdocs/MitraPark/.idea/MitraPark.iml", "XML", 0, 0, 0, 12, 0, 0, 0, 12
"/opt/lampp/htdocs/MitraPark/.idea/modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 8
"/opt/lampp/htdocs/MitraPark/.idea/vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"/opt/lampp/htdocs/MitraPark/.idea/workspace.xml", "XML", 0, 0, 0, 71, 0, 0, 0, 71
"/opt/lampp/htdocs/MitraPark/admin/index.php", "PHP", 101, 0, 0, 0, 0, 0, 24, 125
"/opt/lampp/htdocs/MitraPark/admin/logout.php", "PHP", 4, 0, 0, 0, 0, 0, 1, 5
"/opt/lampp/htdocs/MitraPark/admin/parts/navbar.php", "PHP", 13, 0, 0, 0, 0, 0, 2, 15
"/opt/lampp/htdocs/MitraPark/admin/parts/sidebar.php", "PHP", 40, 0, 0, 0, 0, 0, 1, 41
"/opt/lampp/htdocs/MitraPark/admin/script.js", "JavaScript", 0, 0, 0, 0, 49, 1, 20, 70
"/opt/lampp/htdocs/MitraPark/admin/style.css", "CSS", 0, 0, 428, 0, 0, 7, 4, 439
"/opt/lampp/htdocs/MitraPark/admin/style1.css", "CSS", 0, 0, 523, 0, 0, 8, 61, 592
"/opt/lampp/htdocs/MitraPark/admin/test.php", "PHP", 176, 0, 0, 0, 0, 0, 22, 198
"/opt/lampp/htdocs/MitraPark/admin/users.php", "PHP", 162, 0, 0, 0, 0, 0, 37, 199
"/opt/lampp/htdocs/MitraPark/changePassword.php", "PHP", 125, 0, 0, 0, 0, 0, 21, 146
"/opt/lampp/htdocs/MitraPark/chat.php", "PHP", 229, 0, 0, 0, 0, 5, 42, 276
"/opt/lampp/htdocs/MitraPark/feed.php", "PHP", 160, 0, 0, 0, 0, 0, 46, 206
"/opt/lampp/htdocs/MitraPark/getUpdate.php", "PHP", 3, 0, 0, 0, 0, 0, 2, 5
"/opt/lampp/htdocs/MitraPark/index.php", "PHP", 3, 0, 0, 0, 0, 0, 1, 4
"/opt/lampp/htdocs/MitraPark/kurakani.php", "PHP", 98, 0, 0, 0, 0, 0, 11, 109
"/opt/lampp/htdocs/MitraPark/login.php", "PHP", 114, 0, 0, 0, 0, 2, 25, 141
"/opt/lampp/htdocs/MitraPark/logout.php", "PHP", 9, 0, 0, 0, 0, 0, 1, 10
"/opt/lampp/htdocs/MitraPark/mitras.php", "PHP", 163, 0, 0, 0, 0, 0, 24, 187
"/opt/lampp/htdocs/MitraPark/notifications.php", "PHP", 127, 0, 0, 0, 0, 5, 19, 151
"/opt/lampp/htdocs/MitraPark/parts/entryCheck.php", "PHP", 13, 0, 0, 0, 0, 0, 1, 14
"/opt/lampp/htdocs/MitraPark/parts/feed-midbody.php", "PHP", 49, 0, 0, 0, 0, 0, 4, 53
"/opt/lampp/htdocs/MitraPark/parts/js-script-files/js-script.php", "PHP", 82, 0, 0, 0, 0, 3, 21, 106
"/opt/lampp/htdocs/MitraPark/parts/kurakani/leftNavPart.php", "PHP", 16, 0, 0, 0, 0, 0, 2, 18
"/opt/lampp/htdocs/MitraPark/parts/leftSidebar.php", "PHP", 48, 0, 0, 0, 0, 0, 9, 57
"/opt/lampp/htdocs/MitraPark/parts/navbar-template.html", "HTML", 0, 112, 0, 0, 0, 4, 16, 132
"/opt/lampp/htdocs/MitraPark/parts/navbar.php", "PHP", 52, 0, 0, 0, 0, 0, 3, 55
"/opt/lampp/htdocs/MitraPark/parts/rightSidebar.php", "PHP", 26, 0, 0, 0, 0, 0, 1, 27
"/opt/lampp/htdocs/MitraPark/post.php", "PHP", 859, 0, 0, 0, 0, 8, 137, 1004
"/opt/lampp/htdocs/MitraPark/postComments.php", "PHP", 102, 0, 0, 0, 0, 0, 28, 130
"/opt/lampp/htdocs/MitraPark/postLikes.php", "PHP", 81, 0, 0, 0, 0, 0, 18, 99
"/opt/lampp/htdocs/MitraPark/posts.js", "JavaScript", 0, 0, 0, 0, 150, 2, 35, 187
"/opt/lampp/htdocs/MitraPark/profile.php", "PHP", 327, 0, 0, 0, 0, 5, 52, 384
"/opt/lampp/htdocs/MitraPark/server/api/addLike.php", "PHP", 24, 0, 0, 0, 0, 0, 4, 28
"/opt/lampp/htdocs/MitraPark/server/api/comments/deleteComment.php", "PHP", 24, 0, 0, 0, 0, 0, 12, 36
"/opt/lampp/htdocs/MitraPark/server/api/comments/deleteReplyComment.php", "PHP", 33, 0, 0, 0, 0, 0, 8, 41
"/opt/lampp/htdocs/MitraPark/server/api/comments/getReplyComments.php", "PHP", 17, 0, 0, 0, 0, 0, 6, 23
"/opt/lampp/htdocs/MitraPark/server/api/comments/insertReplyComment.php", "PHP", 32, 0, 0, 0, 0, 0, 10, 42
"/opt/lampp/htdocs/MitraPark/server/api/comments/updateComment.php", "PHP", 25, 0, 0, 0, 0, 0, 12, 37
"/opt/lampp/htdocs/MitraPark/server/api/comments/updateReplyComment.php", "PHP", 35, 0, 0, 0, 0, 0, 11, 46
"/opt/lampp/htdocs/MitraPark/server/api/getComments.php", "PHP", 17, 0, 0, 0, 0, 0, 6, 23
"/opt/lampp/htdocs/MitraPark/server/api/getFriendRequests.php", "PHP", 30, 0, 0, 0, 0, 2, 11, 43
"/opt/lampp/htdocs/MitraPark/server/api/getLikes.php", "PHP", 17, 0, 0, 0, 0, 0, 6, 23
"/opt/lampp/htdocs/MitraPark/server/api/getUsers.php", "PHP", 14, 0, 0, 0, 0, 5, 5, 24
"/opt/lampp/htdocs/MitraPark/server/api/handleRequest.php", "PHP", 59, 0, 0, 0, 0, 38, 17, 114
"/opt/lampp/htdocs/MitraPark/server/api/insertComment.php", "PHP", 20, 0, 0, 0, 0, 0, 6, 26
"/opt/lampp/htdocs/MitraPark/server/api/kurakani/deleteKurakani.php", "PHP", 17, 0, 0, 0, 0, 2, 6, 25
"/opt/lampp/htdocs/MitraPark/server/api/kurakani/getKurakaniUsers.php", "PHP", 29, 0, 0, 0, 0, 0, 10, 39
"/opt/lampp/htdocs/MitraPark/server/api/kurakani/getMessage.php", "PHP", 13, 0, 0, 0, 0, 0, 13, 26
"/opt/lampp/htdocs/MitraPark/server/api/kurakani/sendMessage.php", "PHP", 20, 0, 0, 0, 0, 0, 12, 32
"/opt/lampp/htdocs/MitraPark/server/api/notification/getNewNotificationCount.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 12
"/opt/lampp/htdocs/MitraPark/server/api/notifications/getNotifications.php", "PHP", 2, 0, 0, 0, 0, 0, 3, 5
"/opt/lampp/htdocs/MitraPark/server/api/posts/get-my-posts.php", "PHP", 36, 0, 0, 0, 0, 5, 10, 51
"/opt/lampp/htdocs/MitraPark/server/api/posts/get-posts.php", "PHP", 39, 0, 0, 0, 0, 5, 8, 52
"/opt/lampp/htdocs/MitraPark/server/api/posts/report-post.php", "PHP", 23, 0, 0, 0, 0, 0, 5, 28
"/opt/lampp/htdocs/MitraPark/server/api/strict-mode/check_strict_mode.php", "PHP", 21, 0, 0, 0, 0, 0, 10, 31
"/opt/lampp/htdocs/MitraPark/server/api/strict-mode/redirect_strict_mode.php", "PHP", 14, 0, 0, 0, 0, 0, 6, 20
